Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Europe,Japan,USA
4,90.0,75.0,2125.0,14.5,74,0,0,1
4,140.0,88.0,2890.0,17.3,79,0,0,1
8,350.0,160.0,4456.0,13.5,72,0,0,1
4,105.0,63.0,2125.0,14.7,82,0,0,1
4,97.0,67.0,2145.0,18.0,80,0,1,0
6,232.0,90.0,3210.0,17.2,78,0,0,1
4,89.0,60.0,1968.0,18.8,80,0,1,0
4,146.0,67.0,3250.0,21.8,80,1,0,0
6,198.0,95.0,3102.0,16.5,74,0,0,1
4,97.0,88.0,2279.0,19.0,73,0,1,0
4,97.0,60.0,1834.0,19.0,71,1,0,0
8,350.0,180.0,4380.0,12.1,76,0,0,1
4,151.0,88.0,2740.0,16.0,77,0,0,1
8,400.0,150.0,4997.0,14.0,73,0,0,1
8,350.0,155.0,4360.0,14.9,79,0,0,1
4,107.0,75.0,2210.0,14.4,81,0,1,0
4,121.0,115.0,2795.0,15.7,78,1,0,0
8,318.0,150.0,4077.0,14.0,72,0,0,1
4,98.0,90.0,2265.0,15.5,73,1,0,0
4,151.0,90.0,2670.0,16.0,79,0,0,1
8,302.0,129.0,3169.0,12.0,75,0,0,1
6,258.0,110.0,3632.0,18.0,74,0,0,1
4,140.0,90.0,2408.0,19.5,72,0,0,1
6,181.0,110.0,2945.0,16.4,82,0,0,1
4,98.0,76.0,2144.0,14.7,80,1,0,0
8,350.0,165.0,4209.0,12.0,71,0,0,1
4,156.0,92.0,2620.0,14.4,81,0,0,1
4,140.0,88.0,2720.0,15.4,78,0,0,1
6,232.0,100.0,2914.0,16.0,75,0,0,1
8,304.0,150.0,3672.0,11.5,72,0,0,1
6,156.0,122.0,2807.0,13.5,73,0,1,0
4,120.0,74.0,2635.0,18.3,81,0,1,0
4,121.0,76.0,2511.0,18.0,72,1,0,0
4,79.0,67.0,1963.0,15.5,74,1,0,0
6,231.0,110.0,3039.0,15.0,75,0,0,1
4,134.0,90.0,2711.0,15.5,80,0,1,0
4,71.0,65.0,1773.0,19.0,71,0,1,0
8,400.0,150.0,4464.0,12.0,73,0,0,1
8,318.0,150.0,4190.0,13.0,76,0,0,1
8,454.0,220.0,4354.0,9.0,70,0,0,1
8,350.0,165.0,3693.0,11.5,70,0,0,1
4,91.0,67.0,1850.0,13.8,80,0,1,0
